Tx,Ty,Tn,Ti,Nx,Ny,Ni,Nn,Kx,Ky,time_ms
16,16,16,16,112,224,128,128,3,3,38.611000
16,16,16,16,112,224,256,256,3,3,148.898000
16,16,16,16,112,112,64,64,3,3,5.142000
16,16,16,16,112,112,128,128,3,3,20.339000
16,16,16,16,112,112,256,256,3,3,76.262000
16,16,16,16,112,56,64,64,3,3,2.606000
16,16,16,16,112,56,128,128,3,3,10.238000
16,16,16,16,112,56,256,256,3,3,39.835000
16,16,16,16,112,28,64,64,3,3,1.444000
16,16,16,16,112,28,128,128,3,3,5.523000
16,16,16,16,112,28,256,256,3,3,21.163000
16,16,16,16,56,224,64,64,3,3,5.312000
16,16,16,16,56,224,128,128,3,3,20.601000
16,16,16,16,56,224,256,256,3,3,76.102000
16,16,16,16,56,112,64,64,3,3,2.747000
16,16,16,16,56,112,128,128,3,3,10.546000
16,16,16,16,56,112,256,256,3,3,39.860000
16,16,16,16,56,56,64,64,3,3,1.465000
16,16,16,16,56,56,128,128,3,3,5.527000
16,16,16,16,56,56,256,256,3,3,21.214000
16,16,16,16,56,28,64,64,3,3,0.907000
16,16,16,16,56,28,128,128,3,3,3.048000
16,16,16,16,56,28,256,256,3,3,11.293000
16,16,16,16,28,224,64,64,3,3,2.774000
16,16,16,16,28,224,128,128,3,3,10.338000
16,16,16,16,28,224,256,256,3,3,39.658000
16,16,16,16,28,112,64,64,3,3,1.480000
16,16,16,16,28,112,128,128,3,3,5.542000
16,16,16,16,28,112,256,256,3,3,20.745000
16,16,16,16,28,56,64,64,3,3,0.931000
16,16,16,16,28,56,128,128,3,3,2.896000
16,16,16,16,28,56,256,256,3,3,11.016000
16,16,16,16,28,28,64,64,3,3,0.552000
16,16,16,16,28,28,128,128,3,3,1.832000
16,16,16,16,28,28,256,256,3,3,6.045000
16,16,32,8,224,224,64,64,3,3,20.233000
16,16,32,8,224,224,128,128,3,3,74.858000
16,16,32,8,224,224,256,256,3,3,296.099000
16,16,32,8,224,112,64,64,3,3,10.223000
16,16,32,8,224,112,128,128,3,3,38.800000
16,16,32,8,224,112,256,256,3,3,151.082000
16,16,32,8,224,56,64,64,3,3,5.166000
16,16,32,8,224,56,128,128,3,3,19.802000
16,16,32,8,224,56,256,256,3,3,75.536000
16,16,32,8,224,28,64,64,3,3,2.736000
16,16,32,8,224,28,128,128,3,3,10.434000
16,16,32,8,224,28,256,256,3,3,39.764000
16,16,32,8,112,224,64,64,3,3,10.187000
16,16,32,8,112,224,128,128,3,3,38.038000
16,16,32,8,112,224,256,256,3,3,150.380000
16,16,32,8,112,112,64,64,3,3,5.174000
16,16,32,8,112,112,128,128,3,3,19.199000
16,16,32,8,112,112,256,256,3,3,76.770000
16,16,32,8,112,56,64,64,3,3,2.614000
16,16,32,8,112,56,128,128,3,3,10.150000
16,16,32,8,112,56,256,256,3,3,38.874000
16,16,32,8,112,28,64,64,3,3,1.448000
16,16,32,8,112,28,128,128,3,3,5.469000
16,16,32,8,112,28,256,256,3,3,21.203000
16,16,32,8,56,224,64,64,3,3,5.324000
16,16,32,8,56,224,128,128,3,3,20.626000
16,16,32,8,56,224,256,256,3,3,76.323000
16,16,32,8,56,112,64,64,3,3,2.759000
16,16,32,8,56,112,128,128,3,3,10.601000
16,16,32,8,56,112,256,256,3,3,39.871000
16,16,32,8,56,56,64,64,3,3,1.458000
16,16,32,8,56,56,128,128,3,3,5.501000
16,16,32,8,56,56,256,256,3,3,21.307000
16,16,32,8,56,28,64,64,3,3,0.861000
16,16,32,8,56,28,128,128,3,3,3.093000
16,16,32,8,56,28,256,256,3,3,11.270000
16,16,32,8,28,224,64,64,3,3,2.774000
16,16,32,8,28,224,128,128,3,3,10.328000
16,16,32,8,28,224,256,256,3,3,39.782000
16,16,32,8,28,112,64,64,3,3,1.462000
16,16,32,8,28,112,128,128,3,3,5.537000
16,16,32,8,28,112,256,256,3,3,20.739000
16,16,32,8,28,56,64,64,3,3,0.938000
16,16,32,8,28,56,128,128,3,3,2.950000
16,16,32,8,28,56,256,256,3,3,10.992000
16,16,32,8,28,28,64,64,3,3,0.553000
16,16,32,8,28,28,128,128,3,3,1.840000
16,16,32,8,28,28,256,256,3,3,6.041000
16,16,32,16,224,224,64,64,3,3,20.178000
16,16,32,16,224,224,128,128,3,3,74.303000
16,16,32,16,224,224,256,256,3,3,293.668000
16,16,32,16,224,112,64,64,3,3,10.205000
16,16,32,16,224,112,128,128,3,3,38.518000
16,16,32,16,224,112,256,256,3,3,149.343000
16,16,32,16,224,56,64,64,3,3,5.149000
16,16,32,16,224,56,128,128,3,3,20.343000
16,16,32,16,224,56,256,256,3,3,76.358000
16,16,32,16,224,28,64,64,3,3,2.727000
16,16,32,16,224,28,128,128,3,3,10.466000
16,16,32,16,224,28,256,256,3,3,39.400000
16,16,32,16,112,224,64,64,3,3,10.206000
16,16,32,16,112,224,128,128,3,3,38.862000
16,16,32,16,112,224,256,256,3,3,148.219000
16,16,32,16,112,112,64,64,3,3,5.164000
16,16,32,16,112,112,128,128,3,3,20.346000
16,16,32,16,112,112,256,256,3,3,76.509000
16,16,32,16,112,56,64,64,3,3,2.614000
16,16,32,16,112,56,128,128,3,3,10.172000
16,16,32,16,112,56,256,256,3,3,39.631000
16,16,32,16,112,28,64,64,3,3,1.446000
